Time,Src Port,Dst Port,Source,Destination,Protocol,Length
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,638
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,284
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,284
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:52,80,49297,92.53.119.137,10.1.19.102,HTTP,766
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:52,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:53,49309,80,10.1.19.102,92.53.119.137,TCP,66
2017-01-19 18:09:53,80,49309,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:53,49309,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:53,49309,80,10.1.19.102,92.53.119.137,HTTP,545
2017-01-19 18:09:53,80,49309,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:54,49308,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:54,49308,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:54,49308,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:54,49308,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:54,49308,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:54,49308,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:54,80,49308,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,TCP,66
2017-01-19 18:09:44,80,49286,192.185.225.245,10.1.19.102,TCP,60
2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,TCP,60
2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,HTTP,540
2017-01-19 18:09:44,80,49286,192.185.225.245,10.1.19.102,TCP,60
2017-01-19 18:09:46,80,49286,192.185.225.245,10.1.19.102,TCP,589
2017-01-19 18:09:46,80,49286,192.185.225.245,10.1.19.102,TCP,306
2017-01-19 18:09:46,49286,80,10.1.19.102,192.185.225.245,TCP,60
2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,TCP,66
2017-01-19 18:09:46,80,49287,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,HTTP,801
2017-01-19 18:09:46,80,49287,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,HTTP,629
2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,HTTP,854
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:48,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,252
2017-01-19 18:09:48,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1276
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1276
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1309
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1395
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1395
2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1157
2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60
2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60
2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1395
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514
2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,HTTP,494
2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60
2017-01-19 18:09:49,49288,80,10.1.19.102,92.53.119.137,TCP,66
2017-01-19 18:09:49,49287,80,10.1.19.102,92.53.119.137,HTTP,764
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,TCP,66
2017-01-19 18:09:49,80,49288,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:49,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:49,49288,80,10.1.19.102,92.53.119.137,HTTP,529
2017-01-19 18:09:49,80,49288,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,HTTP,801
2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,HTTP,624
2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,HTTP,849
2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,284
2017-01-19 18:09:49,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,HTTP,528
2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,284
2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,HTTP,212
2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1038
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,49297,80,10.1.19.102,92.53.119.137,HTTP,771
2017-01-19 18:09:51,80,49297,92.53.119.137,10.1.19.102,TCP,60
2017-01-19 18:09:51,49308,80,10.1.19.102,92.53.119.137,TCP,66
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1157
2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
